Source,Target,weight
Bran Stark,Melisandre,4
Arya Stark,Jon Connington,4
Jon Snow,Roose Bolton,4
Cressen,Davos Seaworth,4
Catelyn Stark,Joffrey Baratheon,4
Daenerys Targaryen,Victarion Greyjoy,4
Areo Hotah,Victarion Greyjoy,4
Jaime Lannister,Roose Bolton,4
Arya Stark,Arys Oakheart,4
Asha Greyjoy,Tyrion Lannister,4
Davos Seaworth,Victarion Greyjoy,4
Roose Bolton,Tyrion Lannister,4
Davos Seaworth,Joffrey Baratheon,4
Jon Snow,Kevan Lannister,4
Davos Seaworth,Quentyn Martell,4
Jon Connington,Jon Snow,4
Theon Greyjoy,Victarion Greyjoy,4
Arys Oakheart,Samwell Tarly,4
Catelyn Stark,Cersei Lannister,4
Cersei Lannister,Joffrey Baratheon,4
Catelyn Stark,Cressen,4
Barristan Selmy,Melisandre,4
Asha Greyjoy,Theon Greyjoy,4
Cersei Lannister,Kevan Lannister,4
Asha Greyjoy,Davos Seaworth,4
Davos Seaworth,Merrett Frey,4
Joffrey Baratheon,Sansa Stark,4
Davos Seaworth,Randyll Tarly,3
Davos Seaworth,Roose Bolton,3
Daenerys Targaryen,Tywin Lannister,3
Daenerys Targaryen,Randyll Tarly,3
Samwell Tarly,Victarion Greyjoy,3
Asha Greyjoy,Samwell Tarly,3
Davos Seaworth,Robb Stark,3
Daenerys Targaryen,Robb Stark,3
Daenerys Targaryen,Roose Bolton,3
Sansa Stark,Will,3
Daenerys Targaryen,Stannis Baratheon,3
Daenerys Targaryen,Ellaria Sand,3
Mance Rayder,Tyrion Lannister,3
Sansa Stark,Tywin Lannister,3
Barristan Selmy,Theon Greyjoy,3
Asha Greyjoy,Melisandre,3
Arya Stark,Podrick Payne,3
Jon Connington,Quentyn Martell,3
Bran Stark,Stannis Baratheon,3
Jon Snow,Stannis Baratheon,3
Arya Stark,Quentyn Martell,3
Catelyn Stark,Will,3
Cersei Lannister,Roose Bolton,3
Stannis Baratheon,Tyrion Lannister,3
Tyrion Lannister,Will,3
Barristan Selmy,Bran Stark,3
Tyrion Lannister,Tywin Lannister,3
Bran Stark,Chett,3
Brynden Rivers,Victarion Greyjoy,3
Brynden Rivers,Tyrion Lannister,3
Jaime Lannister,Joffrey Baratheon,3
Daenerys Targaryen,Mance Rayder,3
Jon Snow,Will,3
Arya Stark,Mance Rayder,3
Arya Stark,Ellaria Sand,3
Jon Snow,Tywin Lannister,3
Cersei Lannister,Podrick Payne,3
Aeron Greyjoy,Jon Snow,3
Arya Stark,Cressen,3
Cersei Lannister,Randyll Tarly,3
Eddard Stark,Will,3
Jaime Lannister,Mance Rayder,3
Bran Stark,Joffrey Baratheon,3
Aeron Greyjoy,Samwell Tarly,3
Catelyn Stark,Robb Stark,3
Ellaria Sand,Jon Snow,3
Davos Seaworth,Stannis Baratheon,3
Ellaria Sand,Jaime Lannister,3
Catelyn Stark,Stannis Baratheon,3
Robb Stark,Tyrion Lannister,3
Chett,Tyrion Lannister,3
Davos Seaworth,Ellaria Sand,3
Bran Stark,Will,3
Bran Stark,Tywin Lannister,3
Areo Hotah,Sansa Stark,3
Arys Oakheart,Victarion Greyjoy,3
Catelyn Stark,Tywin Lannister,3
Randyll Tarly,Tyrion Lannister,3
Ellaria Sand,Tyrion Lannister,3
Jaime Lannister,Randyll Tarly,3
Asha Greyjoy,Barristan Selmy,3
Bran Stark,Randyll Tarly,3
Chett,Jon Snow,3
Chett,Jaime Lannister,3
Barristan Selmy,Victarion Greyjoy,3
Arya Stark,Robb Stark,3
Robb Stark,Sansa Stark,3
Arya Stark,Tywin Lannister,3
Jon Snow,Robb Stark,3
Arianne Martell,Asha Greyjoy,3
Podrick Payne,Sansa Stark,3
Arya Stark,Randyll Tarly,3
Arya Stark,Will,3
Catelyn Stark,Chett,3
Chett,Daenerys Targaryen,3
Chett,Davos Seaworth,3
Bran Stark,Brynden Rivers,2
Nymeria Sand,Sansa Stark,2
