canonical_source,canonical_target,weight
Jon Connington,Cersei Lannister,16
POV: The Dragontamer,Daenerys Targaryen,16
Davos Seaworth,Daenerys Targaryen,15
Davos Seaworth,Theon Greyjoy,14
Tyrion Lannister,Theon Greyjoy,14
Tyrion Lannister,Bran Stark,14
Brienne Tarth,Samwell Tarly,14
Jon Connington,Jon Snow,14
Davos Seaworth,Cersei Lannister,13
Victarion Greyjoy,Daenerys Targaryen,13
Arya Stark,Davos Seaworth,13
Tywin Lannister,Daenerys Targaryen,12
POV: The Watcher,Daenerys Targaryen,11
Jaime Lannister,Brienne Tarth,11
Asha Greyjoy,Aeron Greyjoy,10
Sansa Stark,Samwell Tarly,10
Jaime Lannister,Daenerys Targaryen,9
Samwell Tarly,Chett,8
Davos Seaworth,Cressen,8
POV: The Queenmaker,Areo Hotah,8
Davos Seaworth,Sansa Stark,8
Cersei Lannister,Davos Seaworth,8
Tyrion Lannister,Areo Hotah,7
Daenerys Targaryen,Jon Connington,7
Theon Greyjoy,Sansa Stark,7
Samwell Tarly,Bran Stark,7
Davos Seaworth,Jon Connington,7
Cersei Lannister,Samwell Tarly,7
Jon Snow,Othell Yarwyck,6
Jon Snow,Varamyr,6
POV: The Dragontamer,Jaime Lannister,6
Jon Connington,Davos Seaworth,6
Davos Seaworth,Melisandre,6
Arya Stark,Samwell Tarly,6
Jon Connington,Areo Hotah,6
Tywin Lannister,Cersei Lannister,6
Jon Connington,Daenerys Targaryen,5
Jaime Lannister,Samwell Tarly,5
Tywin Lannister,Barristan Selmy,5
Arya Stark,Lommy Greenhands,5
Catelyn Stark,Robb Stark,5
Cersei Lannister,Jon Snow,5
Asha Greyjoy,Victarion Greyjoy,5
Davos Seaworth,Arya Stark,4
Davos Seaworth,Salladhor Saan,4
Tyrion Lannister,Joffrey Baratheon,4
POV: The Watcher,Jaime Lannister,4
Bran Stark,Will,4
Brienne Tarth,Arianne Martell,4
Cersei Lannister,Arya Stark,4
Tyrion Lannister,Yezzan zo Qaggaz,4
Theon Greyjoy,Victarion Greyjoy,4
Daenerys Targaryen,Areo Hotah,4
Sansa Stark,Myranda Royce,4
Arya Stark,Aeron Greyjoy,4
Daenerys Targaryen,Jhogo,4
Daenerys Targaryen,Marselen,3
Daenerys Targaryen,Sansa Stark,3
Samwell Tarly,Sansa Stark,3
Brienne Tarth,Nymeria Sand,3
Brienne Tarth,Podrick Payne,3
Daenerys Targaryen,Davos Seaworth,3
Daenerys Targaryen,Arya Stark,3
Sansa Stark,Joffrey Baratheon,3
Catelyn Stark,Chett,3
Melisandre,Jaime Lannister,3
Arya Stark,Anguy,3
Tyrion Lannister,Illyrio Mopatis,3
Cersei Lannister,Mace Tyrell,3
Melisandre,Arya Stark,3
Jaime Lannister,Tytos Brax,3
Samwell Tarly,Daenerys Targaryen,3
POV: The Kingbreaker,Jon Connington,3
Catelyn Stark,Cressen,3
Samwell Tarly,Catelyn Stark,3
Cersei Lannister,Aeron Greyjoy,3
Tyrion Lannister,Podrick Payne,3
Jon Snow,Will,2
Theon Greyjoy,Brynden Rivers,2
Jon Snow,Tormund,2
Jon Snow,Ryk,2
Theon Greyjoy,Dagmer,2
POV: The Watcher,Ellaria Sand,2
Tywin Lannister,Jaime Lannister,2
Sansa Stark,Yohn Royce,2
Sansa Stark,Gretchel,2
Tywin Lannister,Owen Merryweather,2
Sansa Stark,Arianne Martell,2
POV: The Kingbreaker,Davos Seaworth,2
Samwell Tarly,Leo Tyrell (son of Moryn),2
POV: The Kingbreaker,Quentyn Martell,2
Theon Greyjoy,Samwell Tarly,2
Tyrion Lannister,Kasporio,2
Tyrion Lannister,Mary Mertyns,2
Samwell Tarly,Arya Stark,2
Tyrion Lannister,Oppo,2
POV: The Watcher,Quentyn Martell,2
POV: The Watcher,Jon Snow,2
Jon Snow,Pypar,2
Aeron Greyjoy,Arya Stark,2
Cersei Lannister,Margaery Tyrell,2
Jon Snow,Halleck,2
Jon Snow,Emmett,2
Catelyn Stark,Mya Stone,2
Daenerys Targaryen,Doran Martell,2
Arya Stark,Qyburn,2
Daenerys Targaryen,Goghor the Giant,2
Arya Stark,Stannis Baratheon,2
Jaime Lannister,Roose Bolton,2
Jaime Lannister,Robb Stark,2
Daenerys Targaryen,Selyse Florent,2
Davos Seaworth,Catelyn Stark,2
Arya Stark,Yoren,2
Davos Seaworth,Kevan Lannister,2
Jaime Lannister,Areo Hotah,2
Asha Greyjoy,Jon Snow,2
Asha Greyjoy,Sansa Stark,2
Bran Stark,Cersei Lannister,2
Davos Seaworth,Tanda Stokeworth,2
Cersei Lannister,Theon Greyjoy,2
Catelyn Stark,Daryn Hornwood,2
Jon Snow,Jeyne Poole,2
Jon Snow,Kevan Lannister,2
Jon Snow,Janos Slynt,2
Arya Stark,Brusco,2
Arya Stark,Cass,2
Aeron Greyjoy,Sansa Stark,2
Catelyn Stark,Ryman Frey,2
Arya Stark,Amabel,2
Theon Greyjoy,Roose Bolton,1
Brienne Tarth,Shagwell,1
Brienne Tarth,High Sparrow,1
Tyrion Lannister,Cressen,1
Brienne Tarth,Gendry,1
Tyrion Lannister,Dancy,1
